"No.","Time","Source","Destination","Protocol","Length","Info"
"169","0.316285","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"170","0.316321","57.144.100.192","192.168.137.7","UDP","474","443  >  48513 Len=432"
"171","0.316355","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"172","0.316407","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"173","0.316444","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"174","0.316482","57.144.192.196","192.168.137.7","UDP","90","443  >  46629 Len=48"
"175","0.316517","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"176","0.316615","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"177","0.316657","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"178","0.316693","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"179","0.316728","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"180","0.318410","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"181","0.326012","192.168.137.7","57.144.100.192","UDP","110","48513  >  443 Len=68"
"182","0.326012","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"183","0.326012","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"184","0.338332","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"185","0.338541","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"186","0.338634","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"187","0.338708","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"188","0.338769","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"189","0.338828","57.144.100.192","192.168.137.7","UDP","90","443  >  48513 Len=48"
"190","0.338885","57.144.100.192","192.168.137.7","UDP","90","443  >  48513 Len=48"
"191","0.338941","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"192","0.339002","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"193","0.339061","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"194","0.339141","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"195","0.339200","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"196","0.339259","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"197","0.346738","192.168.137.7","57.144.100.192","UDP","174","36465  >  443 Len=132"
"198","0.347750","192.168.137.7","57.144.100.192","UDP","78","48513  >  443 Len=36"
"199","0.350375","57.144.100.192","192.168.137.7","UDP","90","443  >  48513 Len=48"
"200","0.350518","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"201","0.350600","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"202","0.350665","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"203","0.350726","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"204","0.350790","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"205","0.350847","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"206","0.352702","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"207","0.352898","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"208","0.353015","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"209","0.353132","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"210","0.353234","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"211","0.357088","192.168.137.7","57.144.100.192","UDP","206","36465  >  443 Len=164"
"212","0.389075","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"213","0.389175","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"214","0.389215","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"215","0.389251","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"216","0.389285","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"217","0.389321","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"218","0.389355","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"219","0.391208","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"220","0.391284","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"221","0.391326","57.144.100.192","192.168.137.7","UDP","1274","443  >  48513 Len=1232"
"222","0.391362","57.144.100.192","192.168.137.7","UDP","90","443  >  48513 Len=48"
"223","0.391396","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
"224","0.391431","57.144.100.192","192.168.137.7","UDP","1274","443  >  36465 Len=1232"
